ruta,variedad,clase,largo_pulg,punta_0.25,punta_0.5,punta_1,punta_1.5,punta_2,punta_3,base_0.25,base_0.5,base_1,base_1.5,base_2,base_3
Connecticut/CAPA_CONNECTICUT/20260817_183558155_iOS.jpg,connecticut,capa,12.57200674318503,1.817839921548449,2.4695212024039237,3.411594746441677,4.332178177504704,4.91571614865599,5.902606746246075,1.3463441565118988,1.5041212311078764,1.7748583267474998,2.1548848681408788,2.6936059568462705,3.9064167676300845
Connecticut/CAPA_CONNECTICUT/20260817_183646682_iOS.jpg,connecticut,capa,15.44096077136433,2.2202548847116277,2.691359500432837,3.6781395632645184,4.665202293930383,5.270726415617713,6.078374122751171,1.637016349825366,1.8391406196972422,2.3999522338653434,2.8483472610342093,3.3865909627799335,4.68734654681436
Connecticut/CAPA_CONNECTICUT/20260817_183745635_iOS.jpg,connecticut,capa,13.286976832777842,1.9515842415135485,2.58069196343422,3.501192921194537,3.9943196198035937,4.648079672764088,5.564851194620133,1.7730112327583907,2.1316489561878402,2.7383419059473897,3.546022807729656,3.996557349788732,4.825161146706549
Connecticut/CAPA_CONNECTICUT/20260817_183840237_iOS.jpg,connecticut,capa,16.101396866599917,1.4369207178724226,2.1100467684967765,3.2781413074197445,4.086740366343795,4.895339425267845,5.796727451784858,1.3921164117496592,1.5990365383953886,1.7292093536977113,2.0887044914837545,2.62847737145835,3.5064034544188405
Connecticut/CAPA_CONNECTICUT/20260817_183945014_iOS.jpg,connecticut,capa,15.761852767597198,1.4803379496623732,2.197983328638406,3.476483782817578,4.28383513360188,4.911774882982518,6.077754717448663,1.2786941466660338,1.6150904287552013,2.198371398037878,2.7362177906365233,3.3194987599192,4.261602247583456
Connecticut/CAPA_CONNECTICUT/20260817_184038234_iOS Copiar.jpg,connecticut,capa,15.57500689120261,1.5027802699598776,2.220411960420938,3.162303618315993,3.858225666243455,4.463249814921412,5.293011317993034,1.4567341588694476,1.6812328197832767,2.1082821478103773,2.7586358138199514,3.2298205073537503,4.149285928956394
Connecticut/CAPA_CONNECTICUT/20260817_184120433_iOS.jpg,connecticut,capa,15.410102432461324,1.9543862805284304,2.7182264620887824,3.7980413724636213,4.783343760104016,5.705171477178048,6.587152953805595,1.482893424301312,1.8411849994083933,2.6498114353623885,3.189719318315901,4.402658972246894,5.799684855444679
Connecticut/CAPA_CONNECTICUT/20260817_184314874_iOS.jpg,connecticut,capa,14.3086042254212,1.6853901928868789,2.1996813889207516,3.2557243108749394,4.176329643561923,4.738463226063499,5.702865989043795,1.6843789538432814,1.8188056462797628,2.290310308851045,2.6732085295792287,3.143702295319788,4.445183028434886
Connecticut/CAPA_CONNECTICUT/20260817_184409846_iOS.jpg,connecticut,capa,14.625079484648577,2.2691451270004803,2.919700014180151,3.8205771168758136,4.494876444339753,5.236334021749168,6.5388023812195355,1.4659632978768187,1.6871069037708746,2.1124424297234112,2.7182250932372853,3.2805942893028264,4.630551529341731
Connecticut/CAPA_CONNECTICUT/20260817_184524659_iOS.jpg,connecticut,capa,12.598128658974359,1.5699768477472769,2.130577145465489,2.8483233061330075,3.6333507422743176,4.104398208445517,4.575523699152059,1.1213564734006751,1.457841217517853,2.018519368664972,2.5118383909093924,3.0502453281961643,3.902320479524547
Connecticut/CAPA_CONNECTICUT/20260817_184545583_iOS.jpg,connecticut,capa,15.853503848782466,2.2902801941181052,2.851408355194947,3.9736643351357563,4.624420443485524,5.14073480203234,6.082781140146585,1.5713494635861498,1.7544210316806006,2.19874441007088,2.4695359175575193,2.851408355194947,3.748640890779167
Connecticut/CAPA_CONNECTICUT/20260817_184607304_iOS.jpg,connecticut,capa,14.783004303345923,1.9961523351998167,2.511947043496987,3.4092327931831625,4.238989505274543,4.598054310371136,5.876829903701257,1.5481378487471877,1.7499705532501486,2.13121023928297,2.669179315197057,3.2971033227854765,4.598054310371136
Connecticut/CAPA_CONNECTICUT/20260817_184626125_iOS.jpg,connecticut,capa,16.258452866625355,1.9096080681373335,2.4719805152251806,3.3925232229561644,4.426359951496125,5.234974752212394,6.183363663739172,1.8872225551769652,2.2019872192678784,2.8986734285436833,3.3253663418621855,3.7744451103539305,4.696352905240553
Connecticut/CAPA_CONNECTICUT/20260817_184658522_iOS.jpg,connecticut,capa,14.101372365305627,2.5367593590555524,2.9634485080324375,3.8168274904119563,4.421795858391401,4.781266870169804,5.702835189885107,1.3687223118954692,1.5956972251678336,2.1772886894900227,2.693603048036839,3.1875110186379536,4.109079338353256
Connecticut/CAPA_CONNECTICUT/20260817_184741633_iOS.jpg,connecticut,capa,15.769247962359898,2.0040495817003583,2.7452901961474585,3.691447879733711,4.592912219721696,5.425438118392024,6.572717045915539,1.8290713480834306,2.229415752250573,3.218369037940585,3.8274271919809544,4.412239563876185,5.468233891602221
Connecticut/CAPA_CONNECTICUT/20260817_184812055_iOS.jpg,connecticut,capa,15.159840116388551,1.9961506241354452,2.7137881322153685,3.6783346246028774,4.396414271716415,4.956847398445524,5.965803882171368,1.7716677050138343,2.4457789865033384,3.2748848097077734,3.7016447967496418,4.418398368975212,5.5614697892090375
Connecticut/CAPA_CONNECTICUT/20260817_184915826_iOS.jpg,connecticut,capa,13.769393483013934,1.9516766389896132,2.4229990732053235,3.2297835483633244,3.993485989241765,4.217715499729946,4.981417598395512,1.4152902120660094,1.5924687889115565,1.8852897368628405,2.759342996724721,3.6562598409323863,5.047363388127295
